text,x,y,label
Irrit.,237.35528564453125,515.0401611328125,unknown
2-comma-,258.9552001953125,515.0401611328125,unknown
H319;,269.03515625,515.0401611328125,hcode
STOT,297.2368469238281,515.0401611328125,unknown
SE,323.0415954589844,515.0401611328125,unknown
3-comma-,336.7199401855469,515.0401611328125,unknown
H336,346.7998962402344,515.0401611328125,hcode
Reg.nr.:,84.59996032714844,526.3201293945312,unknown
01-2119475103-46,119.99854278564453,526.3201293945312,ReachNr
CAS:,84.59996032714844,540.360107421875,unknown
74-98-6,108.23837280273438,540.360107421875,CAS
Propan,206.04029846191406,540.360107421875,unknown
5-<10%,483.84014892578125,540.360107421875,unknown
EINECS:,84.59996032714844,551.64013671875,unknown
200-827-9,124.31676483154297,551.64013671875,EC_Nr
Flam.,219.83990478515625,552.9600830078125,unknown
Gas,245.998291015625,552.9600830078125,unknown
1-comma-,264.6015319824219,552.9600830078125,unknown
H220,274.6814880371094,552.9600830078125,hcode
Indexnummer:,84.59996032714844,562.9201049804688,unknown
601-003-00-5,145.56053161621094,562.9201049804688,IndexNr
Press.,206.03994750976562,562.9201049804688,unknown
Gas,233.16162109375,562.9201049804688,unknown
C-comma-,251.764892578125,562.9201049804688,unknown
H280,263.4048156738281,562.9201049804688,hcode
Reg.nr.:,84.59996032714844,574.2000732421875,unknown
01-2119486944-21,119.99854278564453,574.2000732421875,ReachNr
CAS:,84.59996032714844,588.2401123046875,unknown
67-64-1,108.23837280273438,588.2401123046875,CAS
Aceton,206.04029846191406,588.2401123046875,unknown
5-<10%,483.8400573730469,588.2401123046875,unknown
EINECS:,84.59996032714844,599.5201416015625,unknown
200-662-2,124.31676483154297,599.5201416015625,EC_Nr
Flam.,219.83990478515625,600.840087890625,unknown
Liq.,245.998291015625,600.840087890625,unknown
2-comma-,264.35809326171875,600.840087890625,unknown
H225,274.43804931640625,600.840087890625,hcode
Indexnummer:,84.59996032714844,610.8001098632812,unknown
606-001-00-8,145.56053161621094,610.8001098632812,IndexNr
Eye,219.83990478515625,610.8001098632812,unknown
Irrit.,237.35528564453125,610.8001098632812,unknown
2-comma-,258.9552001953125,610.8001098632812,unknown
H319;,269.03515625,610.8001098632812,hcode
STOT,297.2368469238281,610.8001098632812,unknown
SE,323.0415954589844,610.8001098632812,unknown
3-comma-,336.7199401855469,610.8001098632812,unknown
H336,346.7998962402344,610.8001098632812,hcode
Reg.nr.:,84.59996032714844,622.080078125,unknown
01-2119471330-49,119.99854278564453,622.080078125,ReachNr
CAS:,84.59996032714844,636.1201171875,unknown
106-97-8,108.23837280273438,636.1201171875,CAS
Butan,206.04029846191406,636.1201171875,unknown
(<,232.5570526123047,636.1201171875,unknown
0-comma-1%,245.03517150878906,636.1201171875,unknown
Butadien,268.4352111816406,636.1201171875,unknown
(203-450-8)),307.18865966796875,636.1201171875,EC_Nr
5-<10%,483.84014892578125,636.1201171875,unknown
EINECS:,84.59996032714844,647.4000854492188,unknown
203-448-7,124.31676483154297,647.4000854492188,EC_Nr
Flam.,219.83990478515625,648.7200927734375,unknown
Gas,245.998291015625,648.7200927734375,unknown
1-comma-,264.6015319824219,648.7200927734375,unknown
H220,274.6814880371094,648.7200927734375,hcode
Indexnummer:,84.59996032714844,658.6800537109375,unknown
601-004-00-0,145.56053161621094,658.6800537109375,IndexNr
Press.,206.03994750976562,658.6800537109375,unknown
Gas,233.16162109375,658.6800537109375,unknown
C-comma-,251.764892578125,658.6800537109375,unknown
H280,263.4048156738281,658.6800537109375,hcode
Reg.nr.:,84.59996032714844,669.9600830078125,unknown
01-2119474691-32,119.99854278564453,669.9600830078125,ReachNr
CAS:,84.59996032714844,684.0000610351562,unknown
9004-70-0,108.23837280273438,684.0000610351562,CAS
Cellulosenitrat,206.03857421875,684.0000610351562,unknown
2-comma-5-<5-comma-0%,478.8001403808594,684.0000610351562,unknown
Flam.,219.83990478515625,696.60009765625,unknown
Sol.,245.998291015625,696.60009765625,unknown
1-comma-,263.8765563964844,696.60009765625,unknown
H228,273.9565124511719,696.60009765625,hcode
